word,row,col,page,identifier
linge,15,11,accueil,linge@accueil
gardien,15,12,accueil,gardien@accueil
euro,15,13,accueil,euro@accueil
dormir,15,14,accueil,dormir@accueil
vert,15,15,accueil,vert@accueil
sage,15,16,accueil,sage@accueil
lever,15,17,accueil,lever@accueil
chocolat,15,18,accueil,chocolat@accueil
millier,15,19,accueil,millier@accueil
revenir,15,20,accueil,revenir@accueil
regarder,15,21,accueil,regarder@accueil
grêle,15,22,accueil,grêle@accueil
manteau,15,23,accueil,manteau@accueil
amoureux,15,24,accueil,amoureux@accueil
réunir,15,25,accueil,réunir@accueil
chaume,15,26,accueil,chaume@accueil
briller,15,27,accueil,briller@accueil
légende,15,28,accueil,légende@accueil
doudou,15,29,accueil,doudou@accueil
fuite,15,30,accueil,fuite@accueil
surprise,15,31,accueil,surprise@accueil
collage,15,32,accueil,collage@accueil
abeille,15,33,accueil,abeille@accueil
mimi,15,34,accueil,mimi@accueil
sapin,15,35,accueil,sapin@accueil
pendule,15,36,accueil,pendule@accueil
château,15,37,accueil,château@accueil
habiller,15,38,accueil,habiller@accueil
barrer,15,39,accueil,barrer@accueil
mélanger,15,40,accueil,mélanger@accueil
clé,15,41,accueil,clé@accueil
ramener,15,42,accueil,ramener@accueil
feuille,16,0,accueil,feuille@accueil
coiffure,16,1,accueil,coiffure@accueil
disque,16,2,accueil,disque@accueil
triangle,16,3,accueil,triangle@accueil
couleur,16,4,accueil,couleur@accueil
quart,16,5,accueil,quart@accueil
imaginer,16,6,accueil,imaginer@accueil
toucher,16,7,accueil,toucher@accueil
découvrir,16,8,accueil,découvrir@accueil
régaler,16,9,accueil,régaler@accueil
c,16,10,accueil,c@accueil
aujourd'hui,16,11,accueil,aujourd'hui@accueil
